"model-run","timestamp","t_2m","t_2m_unit","aswdir_s","aswdir_s_unit","aswdifd_s","aswdifd_s_unit","ws_10m","ws_10m_unit"
"03","2020-04-17 21:00:00",286.9113464355469,"K",-0.210937438081536,"W/m²",-0.0665283203125,"W/m²",2.199462788110251,"m/s"
"03","2020-04-17 21:15:00","","",0.6015625602151781,"W/m²",0.023224830627441,"W/m²","",""
"03","2020-04-17 21:30:00","","",-0.039062439871744,"W/m²",0.21849918365478502,"W/m²","",""
"03","2020-04-17 21:45:00","","",0.117187557990352,"W/m²",-0.066758155822753,"W/m²","",""
"03","2020-04-17 22:00:00",286.2275085449219,"K",-0.085937444863633,"W/m²",0.026755332946777004,"W/m²",1.959501273989606,"m/s"
"03","2020-04-17 22:15:00","","",-0.078124945095429,"W/m²",0.21429443359375,"W/m²","",""
"03","2020-04-17 22:30:00","","",0.14062505248934,"W/m²",-0.11392593383789001,"W/m²","",""
"03","2020-04-17 22:45:00","","",-0.0468749473513,"W/m²",-0.063167572021484,"W/m²","",""
"03","2020-04-17 23:00:00",285.9549560546875,"K",0.26562504944701903,"W/m²",0.069419860839843,"W/m²",1.932601883047298,"m/s"
"03","2020-04-17 23:15:00","","",-0.171874948690334,"W/m²",-0.032130241394042004,"W/m²","",""
"03","2020-04-17 23:30:00","","",0.195312546276383,"W/m²",0.256823539733886,"W/m²","",""
"03","2020-04-17 23:45:00","","",0.101562547526425,"W/m²",-0.020545005798339,"W/m²","",""
"06","2020-04-17 06:00:00",282.9861145019531,"K",57.8125,"W/m²",78.6680026203394,"W/m²",1.419090442677764,"m/s"
"06","2020-04-17 06:15:00","","",83.01171875,"W/m²",76.16813158988953,"W/m²","",""
"06","2020-04-17 06:30:00","","",96.65234375000007,"W/m²",95.19366526603699,"W/m²","",""
"06","2020-04-17 06:45:00","","",111.6523437500011,"W/m²",113.2984709739685,"W/m²","",""
"06","2020-04-17 07:00:00",284.49530029296875,"K",83.62109375001216,"W/m²",152.94877529144287,"W/m²",1.88834445951048,"m/s"
"06","2020-04-17 07:15:00","","",92.13281257492328,"W/m²",172.61792182922363,"W/m²","",""
"06","2020-04-17 07:30:00","","",100.96094098208543,"W/m²",190.88695812225342,"W/m²","",""
"06","2020-04-17 07:45:00","","",187.64063185742344,"W/m²",172.88682746887207,"W/m²","",""
"06","2020-04-17 08:00:00",286.3848876953125,"K",299.3281689438955,"W/m²",132.19397449493408,"W/m²",3.354232087298738,"m/s"
